year,sp500,tbill3,tbond10
1928,0.43809999999999993,0.0308,0.008400000000000001
1929,-0.083,0.0316,0.042
1930,-0.25120000000000003,0.0455,0.0454
1931,-0.43839999999999996,0.023099999999999996,-0.0256
1932,-0.08639999999999999,0.010700000000000001,0.08789999999999999
1933,0.49979999999999997,0.0096,0.018600000000000002
1934,-0.0119,0.0032,0.0796
1935,0.46740000000000004,0.0018,0.044700000000000004
1936,0.31939999999999996,0.0017000000000000001,0.050199999999999995
1937,-0.35339999999999994,0.003,0.013800000000000002
1938,0.29279999999999995,8e-4,0.0421
1939,-0.011000000000000001,4e-4,0.0441
1940,-0.1067,3e-4,0.054000000000000006
1941,-0.1277,8e-4,-0.0202
1942,0.1917,0.0034,0.0229
1943,0.2506,0.0038,0.0249
1944,0.19030000000000002,0.0038,0.0258
1945,0.3582,0.0038,0.038
1946,-0.0843,0.0038,0.0313
1947,0.052000000000000005,0.0057,0.0092
1948,0.057,0.0102,0.0195
1949,0.183,0.011000000000000001,0.046599999999999996
1950,0.30810000000000004,0.011700000000000002,0.004300000000000001
1951,0.2368,0.0148,-0.003
1952,0.18150000000000002,0.016700000000000003,0.0227
1953,-0.0121,0.0189,0.0414
1954,0.5256000000000001,0.0096,0.0329
1955,0.326,0.0166,-0.0134
1956,0.07440000000000001,0.0256,-0.022600000000000002
1957,-0.10460000000000001,0.0323,0.068
1958,0.43720000000000003,0.0178,-0.021
1959,0.1206,0.032600000000000004,-0.0265
1960,0.0034,0.0305,0.11639999999999999
1961,0.2664,0.0227,0.0206
1962,-0.08810000000000001,0.027800000000000002,0.05689999999999999
1963,0.22610000000000002,0.0311,0.016800000000000002
1964,0.16419999999999998,0.0351,0.0373
1965,0.124,0.039,0.0072
1966,-0.09970000000000001,0.0484,0.029099999999999997
1967,0.23800000000000002,0.0433,-0.0158
1968,0.1081,0.0526,0.0327
1969,-0.08239999999999999,0.06559999999999999,-0.0501
1970,0.0356,0.0669,0.1675
1971,0.1422,0.0454,0.09789999999999999
1972,0.1876,0.0395,0.0282
1973,-0.1431,0.0673,0.0366
1974,-0.259,0.07780000000000001,0.0199
1975,0.37,0.0599,0.0361
1976,0.2383,0.04970000000000001,0.1598
1977,-0.0698,0.0513,0.0129
1978,0.06509999999999999,0.0693,-0.007799999999999999
1979,0.1852,0.09939999999999999,0.006699999999999999
1980,0.31739999999999996,0.1122,-0.029899999999999996
1981,-0.047,0.14300000000000002,0.08199999999999999
1982,0.2042,0.1101,0.32809999999999995
1983,0.2234,0.0845,0.032
1984,0.06149999999999999,0.09609999999999999,0.13729999999999998
1985,0.3124,0.07490000000000001,0.2571
1986,0.18489999999999998,0.0604,0.2428
1987,0.0581,0.0572,-0.0496
1988,0.1654,0.0645,0.0822
1989,0.31479999999999997,0.08109999999999999,0.1769
1990,-0.030600000000000002,0.0755,0.062400000000000004
1991,0.3023,0.0561,0.15
1992,0.07490000000000001,0.0341,0.09360000000000002
1993,0.09970000000000001,0.0298,0.1421
1994,0.013300000000000001,0.0399,-0.08039999999999999
1995,0.37200000000000005,0.0552,0.23479999999999998
1996,0.2268,0.050199999999999995,0.0143
1997,0.331,0.050499999999999996,0.09939999999999999
1998,0.2834,0.0473,0.1492
1999,0.2089,0.0451,-0.0825
2e3,-0.09029999999999999,0.0576,0.1666
2001,-0.11850000000000001,0.036699999999999997,0.0557
2002,-0.21969999999999998,0.0166,0.1512
2003,0.2836,0.0103,0.0038
2004,0.10739999999999998,0.0123,0.0449
2005,0.0483,0.0301,0.028699999999999996
2006,0.1561,0.046799999999999994,0.0196
2007,0.0548,0.0464,0.1021
2008,-0.3655,0.0159,0.201
2009,0.25939999999999996,0.0014000000000000002,-0.1112
2010,0.1482,0.0013,0.08460000000000001
2011,0.021,3e-4,0.1604
2012,0.1589,5e-4,0.029699999999999997
2013,0.3215,7.000000000000001e-4,-0.091
2014,0.1352,5e-4,0.1075
2015,0.013800000000000002,0.0021000000000000003,0.0128
2016,0.1177,0.0051,0.0069
2017,0.2164,0.013900000000000001,0.027999999999999997
